instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,temp_group
239,2011-08-27,3,0,Agustus,0,6,0,2,0.68,31.7778,0.85,0.375617,226,889,1115,Panas
240,2011-08-28,3,0,Agustus,0,0,0,1,0.707059,32.397949999999994,0.561765,0.304659,1415,2919,4334,Panas
241,2011-08-29,3,0,Agustus,0,1,1,1,0.636667,30.3979,0.554583,0.159825,729,3905,4634,Panas
242,2011-08-30,3,0,Agustus,0,2,1,1,0.639167,29.7352,0.548333,0.125008,775,4429,5204,Sejuk
243,2011-08-31,3,0,Agustus,0,3,1,1,0.656667,30.556050000000003,0.597917,0.0833333,688,4370,5058,Panas
244,2011-09-01,3,0,September,0,4,1,1,0.655,30.746050000000004,0.639167,0.141796,783,4332,5115,Panas
245,2011-09-02,3,0,September,0,5,1,2,0.643333,30.2404,0.727083,0.139929,875,3852,4727,Panas
246,2011-09-03,3,0,September,0,6,0,1,0.669167,31.66065,0.716667,0.185325,1935,2549,4484,Panas
247,2011-09-04,3,0,September,0,0,0,1,0.709167,33.27145,0.742083,0.206467,2521,2419,4940,Panas
248,2011-09-05,3,0,September,1,1,0,2,0.673333,31.282300000000003,0.790417,0.212696,1236,2115,3351,Panas
249,2011-09-06,3,0,September,0,2,1,3,0.54,25.759999999999998,0.886957,0.343943,204,2506,2710,Sejuk
250,2011-09-07,3,0,September,0,3,1,3,0.599167,27.21145,0.917083,0.0970208,118,1878,1996,Sejuk
251,2011-09-08,3,0,September,0,4,1,3,0.633913,27.76805,0.939565,0.192748,153,1689,1842,Sejuk
252,2011-09-09,3,0,September,0,5,1,2,0.65,28.9473,0.897917,0.124379,417,3127,3544,Sejuk
253,2011-09-10,3,0,September,0,6,0,1,0.66,30.3981,0.75375,0.153608,1750,3595,5345,Panas
254,2011-09-11,3,0,September,0,0,0,1,0.653333,30.46145,0.71375,0.115054,1633,3413,5046,Panas
255,2011-09-12,3,0,September,0,1,1,1,0.644348,30.106500000000004,0.692174,0.088913,690,4023,4713,Panas
256,2011-09-13,3,0,September,0,2,1,1,0.650833,30.1777,0.7125,0.141804,701,4062,4763,Panas
257,2011-09-14,3,0,September,0,3,1,1,0.673333,31.345,0.697083,0.1673,647,4138,4785,Panas
258,2011-09-15,3,0,September,0,4,1,2,0.5775,27.68355,0.709167,0.271146,428,3231,3659,Sejuk
259,2011-09-16,3,0,September,0,5,1,2,0.469167,23.07375,0.590417,0.164183,742,4018,4760,Sejuk
260,2011-09-17,3,0,September,0,6,0,2,0.491667,23.9256,0.718333,0.189675,1434,3077,4511,Sejuk
261,2011-09-18,3,0,September,0,0,0,1,0.5075,24.52685,0.695,0.178483,1353,2921,4274,Sejuk
262,2011-09-19,3,0,September,0,1,1,2,0.549167,26.48375,0.69,0.151742,691,3848,4539,Sejuk
263,2011-09-20,3,0,September,0,2,1,2,0.561667,26.610850000000003,0.88125,0.134954,438,3203,3641,Sejuk
264,2011-09-21,3,0,September,0,3,1,2,0.595,27.526650000000004,0.9,0.0964042,539,3813,4352,Sejuk
265,2011-09-22,3,0,September,0,4,1,2,0.628333,27.74815,0.902083,0.128125,555,4240,4795,Sejuk
266,2011-09-23,4,0,September,0,5,1,2,0.609167,26.106249999999996,0.9725,0.0783667,258,2137,2395,Sejuk
267,2011-09-24,4,0,September,0,6,0,2,0.606667,28.2206,0.8625,0.0783833,1776,3647,5423,Sejuk
268,2011-09-25,4,0,September,0,0,0,2,0.634167,28.631849999999996,0.845,0.0503792,1544,3466,5010,Sejuk
269,2011-09-26,4,0,September,0,1,1,2,0.649167,29.452099999999998,0.848333,0.1107,684,3946,4630,Sejuk
270,2011-09-27,4,0,September,0,2,1,2,0.636667,28.726249999999997,0.885417,0.118171,477,3643,4120,Sejuk
271,2011-09-28,4,0,September,0,3,1,2,0.635,28.757899999999996,0.84875,0.148629,480,3427,3907,Sejuk
272,2011-09-29,4,0,September,0,4,1,1,0.616667,28.7256,0.699167,0.172883,653,4186,4839,Sejuk
273,2011-09-30,4,0,September,0,5,1,1,0.564167,27.24145,0.6475,0.206475,830,4372,5202,Sejuk
274,2011-10-01,4,0,Oktober,0,6,0,2,0.41,20.64315,0.75375,0.292296,480,1949,2429,Sejuk
275,2011-10-02,4,0,Oktober,0,0,0,2,0.356667,17.26585,0.791667,0.222013,616,2302,2918,Dingin
276,2011-10-03,4,0,Oktober,0,1,1,2,0.384167,19.6023,0.760833,0.0833458,330,3240,3570,Sejuk
277,2011-10-04,4,0,Oktober,0,2,1,1,0.484167,23.6429,0.71,0.205854,486,3970,4456,Sejuk
278,2011-10-05,4,0,Oktober,0,3,1,1,0.538333,26.3569,0.647917,0.17725,559,4267,4826,Sejuk
279,2011-10-06,4,0,Oktober,0,4,1,1,0.494167,24.02125,0.620833,0.134954,639,4126,4765,Sejuk
280,2011-10-07,4,0,Oktober,0,5,1,1,0.510833,25.2202,0.684167,0.0223917,949,4036,4985,Sejuk
281,2011-10-08,4,0,Oktober,0,6,0,1,0.521667,25.6621,0.70125,0.0454042,2235,3174,5409,Sejuk
282,2011-10-09,4,0,Oktober,0,0,0,1,0.540833,26.19915,0.7275,0.06345,2397,3114,5511,Sejuk
283,2011-10-10,4,0,Oktober,1,1,0,1,0.570833,27.14625,0.73375,0.0423042,1514,3603,5117,Sejuk
284,2011-10-11,4,0,Oktober,0,2,1,2,0.566667,27.3048,0.80875,0.143042,667,3896,4563,Sejuk
285,2011-10-12,4,0,Oktober,0,3,1,3,0.543333,25.885849999999998,0.90625,0.24815,217,2199,2416,Sejuk
286,2011-10-13,4,0,Oktober,0,4,1,2,0.589167,27.5902,0.896667,0.141787,290,2623,2913,Sejuk
287,2011-10-14,4,0,Oktober,0,5,1,2,0.550833,26.48375,0.71625,0.223883,529,3115,3644,Sejuk
288,2011-10-15,4,0,Oktober,0,6,0,1,0.506667,24.936249999999998,0.483333,0.258083,1899,3318,5217,Sejuk
289,2011-10-16,4,0,Oktober,0,0,0,1,0.511667,25.1577,0.486667,0.281717,1748,3293,5041,Sejuk
290,2011-10-17,4,0,Oktober,0,1,1,1,0.534167,25.53625,0.579583,0.175379,713,3857,4570,Sejuk
291,2011-10-18,4,0,Oktober,0,2,1,2,0.5325,26.13605,0.701667,0.110087,637,4111,4748,Sejuk
292,2011-10-19,4,0,Oktober,0,3,1,3,0.541739,25.6924,0.895217,0.243339,254,2170,2424,Sejuk
293,2011-10-20,4,0,Oktober,0,4,1,1,0.475833,23.32625,0.63625,0.422275,471,3724,4195,Sejuk
294,2011-10-21,4,0,Oktober,0,5,1,1,0.4275,21.1798,0.574167,0.221396,676,3628,4304,Sejuk
295,2011-10-22,4,0,Oktober,0,6,0,1,0.4225,21.2746,0.629167,0.0926667,1499,2809,4308,Sejuk
296,2011-10-23,4,0,Oktober,0,0,0,1,0.421667,21.11665,0.74125,0.0995125,1619,2762,4381,Sejuk
297,2011-10-24,4,0,Oktober,0,1,1,1,0.463333,22.85335,0.772083,0.118792,699,3488,4187,Sejuk
298,2011-10-25,4,0,Oktober,0,2,1,1,0.471667,23.16875,0.622917,0.166658,695,3992,4687,Sejuk
299,2011-10-26,4,0,Oktober,0,3,1,2,0.484167,23.6423,0.720417,0.148642,404,3490,3894,Sejuk
300,2011-10-27,4,0,Oktober,0,4,1,2,0.47,22.8523,0.812917,0.197763,240,2419,2659,Sejuk
301,2011-10-28,4,0,Oktober,0,5,1,2,0.330833,15.9406,0.585833,0.229479,456,3291,3747,Dingin
302,2011-10-29,4,0,Oktober,0,6,0,3,0.254167,11.39565,0.8825,0.351371,57,570,627,Dingin
303,2011-10-30,4,0,Oktober,0,0,0,1,0.319167,16.06645,0.62375,0.176617,885,2446,3331,Dingin
304,2011-10-31,4,0,Oktober,0,1,1,1,0.34,17.803150000000002,0.703333,0.10635,362,3307,3669,Dingin
305,2011-11-01,4,0,November,0,2,1,1,0.400833,19.8544,0.68375,0.135571,410,3658,4068,Sejuk
306,2011-11-02,4,0,November,0,3,1,1,0.3775,19.50665,0.71875,0.0820917,370,3816,4186,Sejuk
307,2011-11-03,4,0,November,0,4,1,1,0.408333,20.296049999999997,0.702083,0.136817,318,3656,3974,Sejuk
308,2011-11-04,4,0,November,0,5,1,2,0.403333,20.1696,0.6225,0.271779,470,3576,4046,Sejuk
309,2011-11-05,4,0,November,0,6,0,1,0.326667,16.1927,0.519167,0.189062,1156,2770,3926,Dingin
310,2011-11-06,4,0,November,0,0,0,1,0.348333,18.117900000000002,0.734583,0.0920542,952,2697,3649,Sejuk
311,2011-11-07,4,0,November,0,1,1,1,0.395,20.04355,0.75875,0.057225,373,3662,4035,Sejuk
312,2011-11-08,4,0,November,0,2,1,1,0.408333,20.6123,0.721667,0.0690375,376,3829,4205,Sejuk
313,2011-11-09,4,0,November,0,3,1,1,0.4,20.453950000000003,0.758333,0.0621958,305,3804,4109,Sejuk
314,2011-11-10,4,0,November,0,4,1,2,0.38,18.68605,0.813333,0.189067,190,2743,2933,Sejuk
315,2011-11-11,4,0,November,1,5,0,1,0.324167,15.34085,0.44625,0.314675,440,2928,3368,Dingin
316,2011-11-12,4,0,November,0,6,0,1,0.356667,17.8971,0.552917,0.212062,1275,2792,4067,Dingin
317,2011-11-13,4,0,November,0,0,0,1,0.440833,21.5275,0.458333,0.281721,1004,2713,3717,Sejuk
318,2011-11-14,4,0,November,0,1,1,1,0.53,26.2306,0.587083,0.306596,595,3891,4486,Sejuk
319,2011-11-15,4,0,November,0,2,1,2,0.53,25.37895,0.68875,0.199633,449,3746,4195,Sejuk
320,2011-11-16,4,0,November,0,3,1,3,0.456667,22.5994,0.93,0.136829,145,1672,1817,Sejuk
321,2011-11-17,4,0,November,0,4,1,2,0.341667,16.16105,0.575833,0.305362,139,2914,3053,Dingin
322,2011-11-18,4,0,November,0,5,1,1,0.274167,13.63605,0.41,0.168533,245,3147,3392,Dingin
323,2011-11-19,4,0,November,0,6,0,1,0.329167,16.22415,0.502083,0.224496,943,2720,3663,Dingin
324,2011-11-20,4,0,November,0,0,0,2,0.463333,22.8529,0.684583,0.18595,787,2733,3520,Sejuk
325,2011-11-21,4,0,November,0,1,1,3,0.4475,22.2531,0.91,0.138054,220,2545,2765,Sejuk
326,2011-11-22,4,0,November,0,2,1,3,0.416667,21.0848,0.9625,0.118792,69,1538,1607,Sejuk
327,2011-11-23,4,0,November,0,3,1,2,0.440833,21.52685,0.757917,0.335825,112,2454,2566,Sejuk
328,2011-11-24,4,0,November,1,4,0,1,0.373333,18.62355,0.549167,0.167304,560,935,1495,Sejuk
329,2011-11-25,4,0,November,0,5,1,1,0.375,19.033549999999998,0.64375,0.0988958,1095,1697,2792,Sejuk
330,2011-11-26,4,0,November,0,6,0,1,0.375833,19.254350000000002,0.681667,0.0684208,1249,1819,3068,Sejuk
331,2011-11-27,4,0,November,0,0,0,1,0.459167,22.79,0.698333,0.208954,810,2261,3071,Sejuk
332,2011-11-28,4,0,November,0,1,1,1,0.503478,24.5061,0.743043,0.142122,253,3614,3867,Sejuk
333,2011-11-29,4,0,November,0,2,1,2,0.458333,22.56875,0.830833,0.258092,96,2818,2914,Sejuk
334,2011-11-30,4,0,November,0,3,1,1,0.325,15.561050000000002,0.613333,0.271158,188,3425,3613,Dingin
335,2011-12-01,4,0,Desember,0,4,1,1,0.3125,15.2777,0.524583,0.220158,182,3545,3727,Dingin
336,2011-12-02,4,0,Desember,0,5,1,1,0.314167,16.571649999999998,0.625833,0.100754,268,3672,3940,Dingin
337,2011-12-03,4,0,Desember,0,6,0,1,0.299167,15.530199999999999,0.612917,0.0957833,706,2908,3614,Dingin
338,2011-12-04,4,0,Desember,0,0,0,1,0.330833,17.455000000000002,0.775833,0.0839583,634,2851,3485,Dingin
339,2011-12-05,4,0,Desember,0,1,1,2,0.385833,19.696250000000003,0.827083,0.0622083,233,3578,3811,Sejuk
340,2011-12-06,4,0,Desember,0,2,1,3,0.4625,22.82,0.949583,0.232583,126,2468,2594,Sejuk
341,2011-12-07,4,0,Desember,0,3,1,3,0.41,20.0123,0.970417,0.266175,50,655,705,Sejuk
342,2011-12-08,4,0,Desember,0,4,1,1,0.265833,12.8469,0.58,0.240058,150,3172,3322,Dingin
343,2011-12-09,4,0,Desember,0,5,1,1,0.290833,15.877099999999999,0.695833,0.0827167,261,3359,3620,Dingin
344,2011-12-10,4,0,Desember,0,6,0,1,0.275,13.320599999999999,0.5075,0.233221,502,2688,3190,Dingin
345,2011-12-11,4,0,Desember,0,0,0,1,0.220833,12.6577,0.49,0.0665417,377,2366,2743,Dingin
346,2011-12-12,4,0,Desember,0,1,1,1,0.238333,13.5098,0.670833,0.06345,143,3167,3310,Dingin
347,2011-12-13,4,0,Desember,0,2,1,1,0.2825,15.0569,0.59,0.14055,155,3368,3523,Dingin
348,2011-12-14,4,0,Desember,0,3,1,2,0.3175,16.9181,0.66375,0.0609583,178,3562,3740,Dingin
349,2011-12-15,4,0,Desember,0,4,1,2,0.4225,20.61185,0.634167,0.268042,181,3528,3709,Sejuk
350,2011-12-16,4,0,Desember,0,5,1,2,0.375,17.99125,0.500417,0.260575,178,3399,3577,Dingin
351,2011-12-17,4,0,Desember,0,6,0,2,0.258333,12.46855,0.560833,0.243167,275,2464,2739,Dingin
352,2011-12-18,4,0,Desember,0,0,0,1,0.238333,12.27895,0.58625,0.169779,220,2211,2431,Dingin
353,2011-12-19,4,0,Desember,0,1,1,1,0.276667,14.04665,0.6375,0.172896,260,3143,3403,Dingin
354,2011-12-20,4,0,Desember,0,2,1,2,0.385833,19.822699999999998,0.595417,0.0615708,216,3534,3750,Sejuk
355,2011-12-21,1,0,Desember,0,3,1,2,0.428333,21.40085,0.858333,0.2214,107,2553,2660,Sejuk
356,2011-12-22,1,0,Desember,0,4,1,2,0.423333,21.306050000000003,0.7575,0.047275,227,2841,3068,Sejuk
357,2011-12-23,1,0,Desember,0,5,1,1,0.373333,18.87565,0.68625,0.274246,163,2046,2209,Sejuk
358,2011-12-24,1,0,Desember,0,6,0,1,0.3025,14.9621,0.5425,0.190304,155,856,1011,Dingin
359,2011-12-25,1,0,Desember,0,0,0,1,0.274783,13.998050000000001,0.681304,0.155091,303,451,754,Dingin
360,2011-12-26,1,0,Desember,1,1,0,1,0.321739,15.77675,0.506957,0.239465,430,887,1317,Dingin
361,2011-12-27,1,0,Desember,0,2,1,2,0.325,16.38165,0.7625,0.18845,103,1059,1162,Dingin
362,2011-12-28,1,0,Desember,0,3,1,1,0.29913,13.9987,0.503913,0.293961,255,2047,2302,Dingin
363,2011-12-29,1,0,Desember,0,4,1,1,0.248333,13.194600000000001,0.574167,0.119412,254,2169,2423,Dingin
364,2011-12-30,1,0,Desember,0,5,1,1,0.311667,15.9406,0.636667,0.134337,491,2508,2999,Dingin
365,2011-12-31,1,0,Desember,0,6,0,1,0.41,20.70605,0.615833,0.220154,665,1820,2485,Sejuk
366,2012-01-01,1,1,Januari,0,0,0,1,0.37,18.78105,0.6925,0.192167,686,1608,2294,Sejuk
367,2012-01-02,1,1,Januari,1,1,0,1,0.273043,12.615199999999998,0.381304,0.329665,244,1707,1951,Dingin
368,2012-01-03,1,1,Januari,0,2,1,1,0.15,6.31375,0.44125,0.365671,89,2147,2236,Dingin
369,2012-01-04,1,1,Januari,0,3,1,2,0.1075,5.96685,0.414583,0.1847,95,2273,2368,Dingin
370,2012-01-05,1,1,Januari,0,4,1,1,0.265833,13.9206,0.524167,0.129987,140,3132,3272,Dingin
371,2012-01-06,1,1,Januari,0,5,1,1,0.334167,17.01335,0.542083,0.167908,307,3791,4098,Dingin
372,2012-01-07,1,1,Januari,0,6,0,1,0.393333,19.53895,0.531667,0.174758,1070,3451,4521,Sejuk
373,2012-01-08,1,1,Januari,0,0,0,1,0.3375,17.012900000000002,0.465,0.191542,599,2826,3425,Dingin
374,2012-01-09,1,1,Januari,0,1,1,2,0.224167,12.37395,0.701667,0.0989,106,2270,2376,Dingin
375,2012-01-10,1,1,Januari,0,2,1,1,0.308696,15.9413,0.646522,0.187552,173,3425,3598,Dingin
376,2012-01-11,1,1,Januari,0,3,1,2,0.274167,14.14105,0.8475,0.131221,92,2085,2177,Dingin
377,2012-01-12,1,1,Januari,0,4,1,2,0.3825,19.0969,0.802917,0.180967,269,3828,4097,Sejuk
378,2012-01-13,1,1,Januari,0,5,1,1,0.274167,12.4681,0.5075,0.378108,174,3040,3214,Dingin
379,2012-01-14,1,1,Januari,0,6,0,1,0.18,9.15435,0.4575,0.187183,333,2160,2493,Dingin
380,2012-01-15,1,1,Januari,0,0,0,1,0.166667,8.081249999999999,0.419167,0.251258,284,2027,2311,Dingin
381,2012-01-16,1,1,Januari,1,1,0,1,0.19,9.53315,0.5225,0.231358,217,2081,2298,Dingin
382,2012-01-17,1,1,Januari,0,2,1,2,0.373043,18.2139,0.716087,0.34913,127,2808,2935,Sejuk
383,2012-01-18,1,1,Januari,0,3,1,1,0.303333,13.7627,0.443333,0.415429,109,3267,3376,Dingin
384,2012-01-19,1,1,Januari,0,4,1,1,0.19,9.501900000000001,0.4975,0.220158,130,3162,3292,Dingin
385,2012-01-20,1,1,Januari,0,5,1,2,0.2175,11.047899999999998,0.45,0.20275,115,3048,3163,Dingin
386,2012-01-21,1,1,Januari,0,6,0,2,0.173333,8.74375,0.83125,0.222642,67,1234,1301,Dingin
387,2012-01-22,1,1,Januari,0,0,0,2,0.1625,8.1125,0.79625,0.199638,196,1781,1977,Dingin
388,2012-01-23,1,1,Januari,0,1,1,2,0.218333,12.152899999999999,0.91125,0.110708,145,2287,2432,Dingin
389,2012-01-24,1,1,Januari,0,2,1,1,0.3425,17.455399999999997,0.835833,0.123767,439,3900,4339,Dingin
390,2012-01-25,1,1,Januari,0,3,1,1,0.294167,14.74105,0.64375,0.161071,467,3803,4270,Dingin
391,2012-01-26,1,1,Januari,0,4,1,2,0.341667,17.8025,0.769583,0.0733958,244,3831,4075,Dingin
392,2012-01-27,1,1,Januari,0,5,1,2,0.425,20.76915,0.74125,0.342667,269,3187,3456,Sejuk
393,2012-01-28,1,1,Januari,0,6,0,1,0.315833,16.318949999999997,0.543333,0.210829,775,3248,4023,Dingin
394,2012-01-29,1,1,Januari,0,0,0,1,0.2825,13.63605,0.31125,0.24005,558,2685,3243,Dingin
395,2012-01-30,1,1,Januari,0,1,1,1,0.269167,13.13125,0.400833,0.215792,126,3498,3624,Dingin
396,2012-01-31,1,1,Januari,0,2,1,1,0.39,19.06585,0.416667,0.261817,324,4185,4509,Sejuk
397,2012-02-01,1,1,Februari,0,3,1,1,0.469167,23.326900000000002,0.507917,0.189067,304,4275,4579,Sejuk
398,2012-02-02,1,1,Februari,0,4,1,2,0.399167,19.94855,0.672917,0.187187,190,3571,3761,Sejuk
399,2012-02-03,1,1,Februari,0,5,1,1,0.313333,15.4673,0.526667,0.178496,310,3841,4151,Dingin
400,2012-02-04,1,1,Februari,0,6,0,2,0.264167,13.63625,0.779583,0.121896,384,2448,2832,Dingin
401,2012-02-05,1,1,Februari,0,0,0,2,0.265833,13.22605,0.687917,0.175996,318,2629,2947,Dingin
402,2012-02-06,1,1,Februari,0,1,1,1,0.282609,14.8213,0.622174,0.1538,206,3578,3784,Dingin
403,2012-02-07,1,1,Februari,0,2,1,1,0.354167,18.0552,0.49625,0.147379,199,4176,4375,Sejuk
404,2012-02-08,1,1,Februari,0,3,1,2,0.256667,13.321050000000001,0.722917,0.133721,109,2693,2802,Dingin
405,2012-02-09,1,1,Februari,0,4,1,1,0.265,13.0994,0.562083,0.194037,163,3667,3830,Dingin
406,2012-02-10,1,1,Februari,0,5,1,2,0.280833,14.6779,0.54,0.116929,227,3604,3831,Dingin
407,2012-02-11,1,1,Februari,0,6,0,3,0.224167,10.54335,0.73125,0.289796,192,1977,2169,Dingin
408,2012-02-12,1,1,Februari,0,0,0,1,0.1275,5.0828999999999995,0.464583,0.409212,73,1456,1529,Dingin
409,2012-02-13,1,1,Februari,0,1,1,1,0.2225,11.39565,0.41125,0.167283,94,3328,3422,Dingin
410,2012-02-14,1,1,Februari,0,2,1,2,0.319167,16.697300000000002,0.50875,0.141179,135,3787,3922,Dingin
411,2012-02-15,1,1,Februari,0,3,1,1,0.348333,17.58145,0.53125,0.1816,141,4028,4169,Dingin
412,2012-02-16,1,1,Februari,0,4,1,2,0.316667,16.5081,0.752917,0.091425,74,2931,3005,Dingin
413,2012-02-17,1,1,Februari,0,5,1,1,0.343333,17.58145,0.634583,0.205846,349,3805,4154,Dingin
414,2012-02-18,1,1,Februari,0,6,0,1,0.346667,17.77125,0.534583,0.190929,1435,2883,4318,Dingin
415,2012-02-19,1,1,Februari,0,0,0,2,0.28,13.2894,0.515833,0.253112,618,2071,2689,Dingin
416,2012-02-20,1,1,Februari,1,1,0,1,0.28,13.66955,0.507826,0.229083,502,2627,3129,Dingin
417,2012-02-21,1,1,Februari,0,2,1,1,0.287826,14.755650000000001,0.594348,0.205717,163,3614,3777,Dingin
418,2012-02-22,1,1,Februari,0,3,1,1,0.395833,19.63335,0.567917,0.234471,394,4379,4773,Sejuk
419,2012-02-23,1,1,Februari,0,4,1,1,0.454167,22.2223,0.554583,0.190913,516,4546,5062,Sejuk
420,2012-02-24,1,1,Februari,0,5,1,2,0.4075,20.54855,0.7375,0.237567,246,3241,3487,Sejuk
421,2012-02-25,1,1,Februari,0,6,0,1,0.290833,12.78375,0.395833,0.421642,317,2415,2732,Dingin
422,2012-02-26,1,1,Februari,0,0,0,1,0.279167,13.4154,0.41,0.205229,515,2874,3389,Dingin
423,2012-02-27,1,1,Februari,0,1,1,1,0.366667,17.8977,0.490833,0.268033,253,4069,4322,Dingin
424,2012-02-28,1,1,Februari,0,2,1,1,0.359167,17.67625,0.395833,0.193417,229,4134,4363,Dingin
425,2012-02-29,1,1,Februari,0,3,1,2,0.344348,17.4235,0.804783,0.179117,65,1769,1834,Dingin
426,2012-03-01,1,1,Maret,0,4,1,1,0.485833,23.768549999999998,0.615417,0.226987,325,4665,4990,Sejuk
427,2012-03-02,1,1,Maret,0,5,1,2,0.353333,17.9921,0.657083,0.144904,246,2948,3194,Dingin
428,2012-03-03,1,1,Maret,0,6,0,2,0.414167,20.6746,0.62125,0.161079,956,3110,4066,Sejuk
429,2012-03-04,1,1,Maret,0,0,0,1,0.325833,15.15105,0.403333,0.334571,710,2713,3423,Dingin
430,2012-03-05,1,1,Maret,0,1,1,1,0.243333,12.05855,0.50625,0.228858,203,3130,3333,Dingin
431,2012-03-06,1,1,Maret,0,2,1,1,0.258333,12.752099999999999,0.456667,0.200875,221,3735,3956,Dingin
432,2012-03-07,1,1,Maret,0,3,1,1,0.404167,19.255,0.513333,0.345779,432,4484,4916,Sejuk
433,2012-03-08,1,1,Maret,0,4,1,1,0.5275,26.230199999999996,0.5675,0.441563,486,4896,5382,Sejuk
434,2012-03-09,1,1,Maret,0,5,1,2,0.410833,19.85415,0.407083,0.4148,447,4122,4569,Sejuk
435,2012-03-10,1,1,Maret,0,6,0,1,0.2875,13.888349999999999,0.350417,0.22575,968,3150,4118,Dingin
436,2012-03-11,1,1,Maret,0,0,0,1,0.361739,17.9835,0.476957,0.222587,1658,3253,4911,Dingin
437,2012-03-12,1,1,Maret,0,1,1,1,0.466667,22.9796,0.489167,0.207713,838,4460,5298,Sejuk
438,2012-03-13,1,1,Maret,0,2,1,1,0.565,27.14645,0.6175,0.23695,762,5085,5847,Sejuk
439,2012-03-14,1,1,Maret,0,3,1,1,0.5725,27.43085,0.507083,0.115062,997,5315,6312,Sejuk
440,2012-03-15,1,1,Maret,0,4,1,1,0.5575,26.64125,0.579583,0.149883,1005,5187,6192,Sejuk
441,2012-03-16,1,1,Maret,0,5,1,2,0.435833,21.81145,0.842083,0.113192,548,3830,4378,Sejuk
442,2012-03-17,1,1,Maret,0,6,0,2,0.514167,25.252299999999998,0.755833,0.110704,3155,4681,7836,Sejuk
443,2012-03-18,1,1,Maret,0,0,0,2,0.4725,23.200000000000003,0.81,0.126883,2207,3685,5892,Sejuk
444,2012-03-19,1,1,Maret,0,1,1,1,0.545,26.64105,0.72875,0.162317,982,5171,6153,Sejuk
445,2012-03-20,1,1,Maret,0,2,1,1,0.560833,26.926650000000002,0.807917,0.121271,1051,5042,6093,Sejuk
446,2012-03-21,2,1,Maret,0,3,1,2,0.531667,25.6629,0.82125,0.0895583,1122,5108,6230,Sejuk
447,2012-03-22,2,1,Maret,0,4,1,1,0.554167,26.57835,0.83125,0.117562,1334,5537,6871,Sejuk
448,2012-03-23,2,1,Maret,0,5,1,2,0.601667,28.50335,0.694167,0.1163,2469,5893,8362,Sejuk
449,2012-03-24,2,1,Maret,0,6,0,2,0.5025,24.336650000000002,0.885417,0.192783,1033,2339,3372,Sejuk
450,2012-03-25,2,1,Maret,0,0,0,2,0.4375,21.874399999999998,0.880833,0.220775,1532,3464,4996,Sejuk
451,2012-03-26,2,1,Maret,0,1,1,1,0.445833,21.9375,0.477917,0.386821,795,4763,5558,Sejuk
452,2012-03-27,2,1,Maret,0,2,1,1,0.323333,15.7827,0.29,0.187192,531,4571,5102,Dingin
453,2012-03-28,2,1,Maret,0,3,1,1,0.484167,23.5475,0.48125,0.291671,674,5024,5698,Sejuk
454,2012-03-29,2,1,Maret,0,4,1,1,0.494167,24.1152,0.439167,0.31965,834,5299,6133,Sejuk
455,2012-03-30,2,1,Maret,0,5,1,2,0.37,18.78105,0.580833,0.138067,796,4663,5459,Sejuk
456,2012-03-31,2,1,Maret,0,6,0,2,0.424167,21.0854,0.738333,0.250617,2301,3934,6235,Sejuk
457,2012-04-01,2,1,April,0,0,0,2,0.425833,20.86435,0.67625,0.172267,2347,3694,6041,Sejuk
458,2012-04-02,2,1,April,0,1,1,1,0.433913,21.37565,0.504348,0.312139,1208,4728,5936,Sejuk
459,2012-04-03,2,1,April,0,2,1,1,0.466667,23.07415,0.396667,0.100133,1348,5424,6772,Sejuk
460,2012-04-04,2,1,April,0,3,1,1,0.541667,26.6725,0.469583,0.180975,1058,5378,6436,Sejuk
461,2012-04-05,2,1,April,0,4,1,1,0.435,21.55815,0.374167,0.219529,1192,5265,6457,Sejuk
462,2012-04-06,2,1,April,0,5,1,1,0.403333,19.538349999999998,0.377083,0.300388,1807,4653,6460,Sejuk
463,2012-04-07,2,1,April,0,6,0,1,0.4375,21.306449999999998,0.254167,0.274871,3252,3605,6857,Sejuk
464,2012-04-08,2,1,April,0,0,0,1,0.5,24.62125,0.275833,0.232596,2230,2939,5169,Sejuk
465,2012-04-09,2,1,April,0,1,1,1,0.489167,23.8319,0.3175,0.358196,905,4680,5585,Sejuk
466,2012-04-10,2,1,April,0,2,1,1,0.446667,21.81165,0.435,0.249375,819,5099,5918,Sejuk
467,2012-04-11,2,1,April,0,3,1,1,0.348696,16.8637,0.469565,0.295274,482,4380,4862,Dingin
468,2012-04-12,2,1,April,0,4,1,1,0.3975,19.3802,0.46625,0.290429,663,4746,5409,Sejuk
469,2012-04-13,2,1,April,0,5,1,1,0.4425,21.590400000000002,0.408333,0.155471,1252,5146,6398,Sejuk
470,2012-04-14,2,1,April,0,6,0,1,0.495,24.3998,0.502917,0.190917,2795,4665,7460,Sejuk
471,2012-04-15,2,1,April,0,0,0,1,0.606667,28.69375,0.507917,0.225129,2846,4286,7132,Sejuk
472,2012-04-16,2,1,April,1,1,0,1,0.664167,30.746250000000003,0.561667,0.284829,1198,5172,6370,Panas
473,2012-04-17,2,1,April,0,2,1,1,0.608333,29.92435,0.390417,0.273629,989,5702,6691,Sejuk
474,2012-04-18,2,1,April,0,3,1,2,0.463333,22.8519,0.569167,0.167912,347,4020,4367,Sejuk
475,2012-04-19,2,1,April,0,4,1,1,0.498333,24.6523,0.6125,0.0659292,846,5719,6565,Sejuk
